subID,pcts_33,pcts_140
A10NF5TK6IFNX6,98.2470784641068,76.5
A13XXMDHOULEZ7,98.9166666666667,76.0434056761269
A14A8J5H98KLO6,98.4974958263773,84.25
A18LFH7XW61JO9,98.0833333333333,68.864774624374
A18MC27WTCEBA2,98.4974958263773,68.3333333333333
A194R45ACMQEOR,98.6644407345576,69.1666666666667
A1A1A9UHNQCI9Y,98.6666666666667,72.20367278798
A1DJDT4B5B19Q2,97.4145120934112,71.6430358632194
A1DVKS3R9SLQ1H,98.582151793161,68.7239366138449
A1E1XXSCJHEA3T,98.75,80.3839732888147
A1HQL1FCG3DL81,99,81.9699499165276
A1IU5OP7BBZHZ7,98.8313856427379,74.75
A1IXQS0AB02CPA,98.9148580968281,78.5
A1IZ4NX41GKU4X,98.2470784641068,70.0833333333333
A1JKSAQ8UNCE7B,98.8313856427379,69.0833333333333
A1KFIQBETMB81I,98.4974958263773,73.25
A1LJKHC0NH9TIX,98.2470784641068,68.5833333333333
A1MIR0TP081SKT,98.6644407345576,70.25
A1NF6PELRKACS9,99,72.0367278797997
A1NGXQMOBCXDC3,99.1652754590985,67.4166666666667
A1PAR1TMKFPKQE,98.9166666666667,73.0383973288815
A1S34BUFNQ33SQ,98.5,71.6193656093489
A1STU8IA7S3WOK,99.2487479131887,72.5833333333333
A1TYDVHEFPZC86,97.4166666666667,62.3539232053422
A1U0GNE5ELW5V7,99,73.873121869783
A1VIP6S8H2XXH7,98.6644407345576,69.3333333333333
A1X0H6VAK3AQE9,98.9166666666667,79.7996661101836
A1XC5OV00MECKQ,98.4140233722871,78.1666666666667
A1XO6ONCCTBMKW,98.7479131886478,68.9166666666667
A20NITCOBY4775,98.330550918197,79.8333333333333
A21SF3IKIZB0VN,98.8313856427379,68.75
A2235F2T52E49T,98.6666666666667,68.9482470784641
A22KRF782ELLB0,98.8333333333333,72.2871452420701
A2581F7TDPAMBQ,98.8313856427379,74.5833333333333
A26D2ZZKJW7BXR,98.9148580968281,70.8333333333333
A26GF078IX9A43,97.9131886477462,69.8333333333333
A26V8QMPU25JGC,98.6666666666667,69.5325542570952
A26ZENZ5G8AEGM,99.0818030050084,69.1666666666667
A272A0JGRTBFCR,98.7489574645538,68.4737281067556
A28P3ZGZB3XG9P,99.2487479131887,83
A28PS7TGEQCFT4,93.6560934891486,61.3333333333333
A2BNOEYZ3VRW2R,94.4073455759599,65.1666666666667
A2EO6IBGQEOMLB,98.4974958263773,82.25
A2FZE7CARM54IG,99,75.4590984974958
A2GM5BW75YCKKW,98.0801335559265,75.5
A2IPSQ0YYH2A41,98.5,69.1151919866444
A2K7AVZWEC9B14,99,78.881469115192
A2KLDW5VRXUJ8S,99.25,74.1235392320534
A2KXARDIOGJL8T,98.9166666666667,69.449081803005
A2OAZPREKF6PQR,98.9166666666667,70.2838063439065
A2R8IV2PWFTY00,98.6644407345576,68.9166666666667
A2RR3R75ECQSKE,98.5809682804674,68.5833333333333
A2SKH7WZUEDGGI,98.8323603002502,74.8957464553795
A2SYRFPPV9WDEG,98.4974958263773,69.5833333333333
A2T1K94BLNDBAH,98.0833333333333,67.5292153589316
A2T91F321UGZBX,99,73.2888146911519
A2TC1ZFCTOCDA5,98.1636060100167,70.25
A2TT6FAIWFD25N,98.6666666666667,59.6828046744574
A2VX8B1CJXRN2,98.9166666666667,72.5375626043406
A2XWD4PZM6JU0M,98.5833333333333,70.4507512520868
A2YLF04UAKYVF1,99.1652754590985,80.75
A30RAYNDOWQ61S,98.75,76.7946577629382
A31YZ8JR422KFR,98.5833333333333,69.1986644407346
A37M4OVE9R80G,98.6644407345576,68.5
A37Y5CTJ8HCQER,84.4166666666667,55.1752921535893
A39C1BN9ZSQ0R2,99.1666666666667,79.5492487479132
A3EGOFTCKJYGW,98.8333333333333,75.7095158597663
A3EQ6C5226X6XN,99.0818030050084,73
A3G0Q633CHZ92L,98.8333333333333,74.2904841402337
A3G9XIQD7RFDEK,99.0833333333333,72.1202003338898
A3HTLXAPOBCVVO,98.5,68.6143572621035
A3IHLWMZNBLUR4,53.1719532554257,61.5
A3KCWV8TW3Q71L,98.1636060100167,69.25
A3N21HBZFYFEXJ,97.4958263772955,71.5
A3N5P5VO81FIJ6,98.5833333333333,69.449081803005
A3O6D3HPXD0H8I,99.1659716430359,69.3077564637198
A3OLRWACCCCUTU,98.4974958263773,72.9166666666667
A3OOD9IMOHPPFQ,98.9166666666667,68.6143572621035
A4T7PYGN1BE2P,98.9983305509182,68.6666666666667
A5AGL4DPWPK5B,98.9148580968281,71.5
A8TIL9U6YHG5,97.581317764804,78.3986655546288
A9MYC5IGQ2DO4,98.5809682804674,69.6666666666667
AAWX7QFQUNM6D,99.1652754590985,86.4166666666667
AE03LUY7RH400,98.1636060100167,75.0833333333333
AETIZKQNUSBLB,99.1652754590985,79.6666666666667
AHEJHFN0VV6E3,98.0801335559265,68.25
AHV4U78TUUDKI,98.8333333333333,71.9532554257095
AJNQ2PBD07FKE,99.1652754590985,70.0833333333333
AJZBAP861F6X1,93.9166666666667,70.3672787979967
AKX5RHHO8BIUX,98.0833333333333,68.1135225375626
AMC42JMQA8A5U,98.6666666666667,70.2838063439065
AR1IWBDA7MC86,99.2493744787323,78.8156797331109
AS9E0S6DBSWH7,98.9148580968281,69
ASWZO1WY1UHEP,98.330550918197,68.25
AXQWKUJF7SQXP,98.5,70.1168614357262
AY45B0YHI4TUP,95.4924874791319,80.6666666666667
